customer_id,customer_name,email,country,created_date,source_file
30,Harper Anderson,harper.anderson30@example.com,Mexico,2019-05-18,customers.csv
31,Alexander White,alexander.white31@example.com,Canada,2015-10-20,customers.csv
32,Jane Martin,jane.martin32@example.com,Mexico,2018-05-18,customers.csv
33,Amelia Brown,amelia.brown33@example.com,India,2024-01-02,customers.csv
34,James Jones,james.jones34@example.com,Canada,2023-01-09,customers.csv
35,Anthony Rodriguez,anthony.rodriguez35@example.com,Australia,2023-11-17,customers.csv
36,Sarah Harris,sarah.harris36@example.com,USA,2019-04-16,customers.csv
37,Isabella Gonzalez,isabella.gonzalez37@example.com,USA,2016-04-07,customers.csv
38,Christopher Gonzalez,christopher.gonzalez38@example.com,Brazil,2015-06-07,customers.csv
39,Nicholas Smith,nicholas.smith39@example.com,Germany,2017-03-30,customers.csv
40,Joseph Gonzalez,joseph.gonzalez40@example.com,USA,2024-08-15,customers.csv
41,Harper White,harper.white41@example.com,India,2017-05-12,customers.csv
42,Isabella White,isabella.white42@example.com,USA,2022-02-22,customers.csv
43,Joseph Taylor,joseph.taylor43@example.com,Germany,2016-04-16,customers.csv
44,John Thomas,john.thomas44@example.com,France,2022-04-10,customers.csv
45,Sofia Anderson,sofia.anderson45@example.com,Germany,2023-04-02,customers.csv
46,Olivia Ramirez,olivia.ramirez46@example.com,Mexico,2022-03-01,customers.csv
47,Joseph Martin,joseph.martin47@example.com,Brazil,2023-06-04,customers.csv
48,Joseph Wilson,joseph.wilson48@example.com,Germany,2020-08-18,customers.csv
49,Amelia Miller,amelia.miller49@example.com,UK,2016-01-21,customers.csv
50,Elizabeth Ramirez,elizabeth.ramirez50@example.com,Australia,2022-08-21,customers.csv
51,Nicholas Lopez,nicholas.lopez51@example.com,Japan,2023-02-23,customers.csv
52,Emma White,emma.white52@example.com,Japan,2015-04-05,customers.csv
53,Emily Jackson,emily.jackson53@example.com,Canada,2016-07-02,customers.csv
54,Isabella Jackson,isabella.jackson54@example.com,Brazil,2020-07-23,customers.csv
55,Matthew Miller,matthew.miller55@example.com,UK,2015-07-22,customers.csv
56,Jane Jones,jane.jones56@example.com,USA,2015-03-14,customers.csv
57,Nicholas Davis,nicholas.davis57@example.com,Australia,2023-04-25,customers.csv
58,William Hernandez,william.hernandez58@example.com,Japan,2016-08-10,customers.csv
59,Anthony Moore,anthony.moore59@example.com,USA,2021-01-13,customers.csv
60,Andrew Thompson,andrew.thompson60@example.com,Japan,2016-05-31,customers.csv
61,Andrew Anderson,andrew.anderson61@example.com,Japan,2023-10-20,customers.csv
62,Nicholas Williams,nicholas.williams62@example.com,Australia,2021-01-18,customers.csv
63,Daniel Thompson,daniel.thompson63@example.com,Canada,2018-06-21,customers.csv
64,Joseph Thomas,joseph.thomas64@example.com,Mexico,2024-11-06,customers.csv
65,Elizabeth Lee,elizabeth.lee65@example.com,Australia,2024-06-24,customers.csv
66,Nicholas Davis,nicholas.davis66@example.com,Australia,2016-08-17,customers.csv
67,John Smith,john.smith67@example.com,UK,2022-01-31,customers.csv
68,Isabella Taylor,isabella.taylor68@example.com,UK,2016-10-30,customers.csv
69,Elizabeth Taylor,elizabeth.taylor69@example.com,Germany,2024-07-10,customers.csv
70,Nicholas Anderson,nicholas.anderson70@example.com,Germany,2024-09-07,customers.csv
71,Nicholas Thompson,nicholas.thompson71@example.com,France,2024-10-18,customers.csv
72,Alexander Ramirez,alexander.ramirez72@example.com,USA,2018-06-20,customers.csv
73,Charlotte Perez,charlotte.perez73@example.com,Japan,2024-10-06,customers.csv
74,Daniel Moore,daniel.moore74@example.com,Germany,2019-06-24,customers.csv
75,Michael Smith,michael.smith75@example.com,Germany,2019-05-02,customers.csv
76,Sofia Moore,sofia.moore76@example.com,Brazil,2021-05-08,customers.csv
77,Evelyn Lee,evelyn.lee77@example.com,Australia,2018-09-24,customers.csv
78,Amelia Garcia,amelia.garcia78@example.com,Germany,2016-01-29,customers.csv
79,Daniel Jones,daniel.jones79@example.com,Australia,2015-07-29,customers.csv
80,Joshua Smith,joshua.smith80@example.com,Australia,2024-12-05,customers.csv
81,Emma Ramirez,emma.ramirez81@example.com,Mexico,2015-03-16,customers.csv
82,Elizabeth Harris,elizabeth.harris82@example.com,France,2022-11-06,customers.csv
83,Harper Wilson,harper.wilson83@example.com,Canada,2023-06-04,customers.csv
84,Olivia Rodriguez,olivia.rodriguez84@example.com,Canada,2019-11-19,customers.csv
85,Nicholas Perez,nicholas.perez85@example.com,Japan,2016-06-14,customers.csv
86,Sofia Lopez,sofia.lopez86@example.com,USA,2015-10-23,customers.csv
87,Matthew Miller,matthew.miller87@example.com,Mexico,2024-06-05,customers.csv
88,Emily Rodriguez,emily.rodriguez88@example.com,UK,2021-01-18,customers.csv
89,Andrew Ramirez,andrew.ramirez89@example.com,Canada,2024-07-27,customers.csv
90,David Taylor,david.taylor90@example.com,Brazil,2018-11-03,customers.csv
91,John Taylor,john.taylor91@example.com,Japan,2023-07-12,customers.csv
92,Sofia Lopez,sofia.lopez92@example.com,India,2023-03-11,customers.csv
93,David Lee,david.lee93@example.com,Mexico,2016-05-31,customers.csv
94,Mia Thomas,mia.thomas94@example.com,Japan,2022-02-15,customers.csv
95,Amelia Perez,amelia.perez95@example.com,UK,2024-01-13,customers.csv
96,William Jones,william.jones96@example.com,Mexico,2015-11-18,customers.csv
97,Abigail Jackson,abigail.jackson97@example.com,USA,2024-12-19,customers.csv
98,John Sanchez,john.sanchez98@example.com,Brazil,2020-04-15,customers.csv
99,Abigail Sanchez,abigail.sanchez99@example.com,Mexico,2024-04-23,customers.csv
100,Sarah Brown,sarah.brown100@example.com,USA,2018-05-30,customers.csv
101,Christopher Perez,christopher.perez101@example.com,Australia,2021-09-06,customers.csv
102,Isabella Ramirez,isabella.ramirez102@example.com,Australia,2021-05-08,customers.csv
103,Sofia Martinez,sofia.martinez103@example.com,Mexico,2024-12-13,customers.csv
104,Ryan Jackson,ryan.jackson104@example.com,USA,2015-09-26,customers.csv
105,Andrew Garcia,andrew.garcia105@example.com,Canada,2021-03-03,customers.csv
106,John White,john.white106@example.com,Mexico,2019-07-06,customers.csv
107,Jane Smith,jane.smith107@example.com,Australia,2024-10-11,customers.csv
108,John Wilson,john.wilson108@example.com,France,2017-02-03,customers.csv
109,Andrew Wilson,andrew.wilson109@example.com,UK,2015-11-11,customers.csv
110,Abigail Clark,abigail.clark110@example.com,Canada,2019-08-01,customers.csv
111,Sophia Garcia,sophia.garcia111@example.com,Australia,2022-06-29,customers.csv
112,Matthew Miller,matthew.miller112@example.com,India,2023-12-28,customers.csv
113,Jane Miller,jane.miller113@example.com,Brazil,2020-10-29,customers.csv
114,Joshua Gonzalez,joshua.gonzalez114@example.com,India,2023-02-09,customers.csv
115,Sophia Martin,sophia.martin115@example.com,Mexico,2020-06-03,customers.csv
116,Anthony Sanchez,anthony.sanchez116@example.com,Germany,2021-05-29,customers.csv
117,Sophia Thompson,sophia.thompson117@example.com,France,2016-01-14,customers.csv
118,Sophia Thompson,sophia.thompson118@example.com,Canada,2018-05-19,customers.csv
119,Charlotte Thompson,charlotte.thompson119@example.com,India,2016-06-20,customers.csv
120,Joseph Gonzalez,joseph.gonzalez120@example.com,Germany,2017-02-15,customers.csv
121,Joseph Anderson,joseph.anderson121@example.com,UK,2015-05-04,customers.csv
122,Andrew Martin,andrew.martin122@example.com,USA,2015-07-19,customers.csv
123,Anthony Jackson,anthony.jackson123@example.com,Australia,2020-11-14,customers.csv
124,Elizabeth Gonzalez,elizabeth.gonzalez124@example.com,Mexico,2019-11-13,customers.csv
125,David Harris,david.harris125@example.com,Germany,2016-10-04,customers.csv
126,Matthew Hernandez,matthew.hernandez126@example.com,Brazil,2023-06-28,customers.csv
127,Anthony Lee,anthony.lee127@example.com,UK,2024-09-28,customers.csv
128,Emily Thomas,emily.thomas128@example.com,Germany,2019-06-14,customers.csv
129,Evelyn Martin,evelyn.martin129@example.com,Japan,2020-05-31,customers.csv
130,Nicholas Rodriguez,nicholas.rodriguez130@example.com,Japan,2023-07-21,customers.csv
131,Charlotte Clark,charlotte.clark131@example.com,Japan,2019-12-20,customers.csv
132,James Jones,james.jones132@example.com,France,2019-09-02,customers.csv
133,Olivia Jones,olivia.jones133@example.com,Canada,2020-11-07,customers.csv
134,Joshua Ramirez,joshua.ramirez134@example.com,Japan,2023-09-12,customers.csv
135,Evelyn Johnson,evelyn.johnson135@example.com,India,2024-01-05,customers.csv
136,Jane Thomas,jane.thomas136@example.com,UK,2016-02-18,customers.csv
137,Sophia Johnson,sophia.johnson137@example.com,France,2024-07-11,customers.csv
138,Andrew Martin,andrew.martin138@example.com,Brazil,2021-06-01,customers.csv
139,James Garcia,james.garcia139@example.com,Germany,2016-05-24,customers.csv
140,Joshua Martinez,joshua.martinez140@example.com,UK,2021-03-18,customers.csv
141,Charlotte Williams,charlotte.williams141@example.com,Germany,2020-04-24,customers.csv
142,Charlotte Lopez,charlotte.lopez142@example.com,France,2024-03-18,customers.csv
143,Isabella Moore,isabella.moore143@example.com,USA,2024-02-13,customers.csv
144,Charlotte Ramirez,charlotte.ramirez144@example.com,India,2020-05-24,customers.csv
145,Abigail Lee,abigail.lee145@example.com,Germany,2019-05-26,customers.csv
146,Andrew Wilson,andrew.wilson146@example.com,Brazil,2023-12-04,customers.csv
147,Nicholas Lopez,nicholas.lopez147@example.com,Japan,2022-04-19,customers.csv
148,Sofia Hernandez,sofia.hernandez148@example.com,Germany,2018-03-23,customers.csv
149,Olivia Martinez,olivia.martinez149@example.com,France,2015-02-02,customers.csv
150,Matthew Martinez,matthew.martinez150@example.com,Japan,2022-06-22,customers.csv
151,Mia Davis,mia.davis151@example.com,India,2015-05-01,customers.csv
152,William Thomas,william.thomas152@example.com,France,2015-12-18,customers.csv
153,Harper Williams,harper.williams153@example.com,Canada,2021-02-03,customers.csv
154,Michael Gonzalez,michael.gonzalez154@example.com,UK,2021-05-15,customers.csv
155,Jane Moore,jane.moore155@example.com,Canada,2024-05-18,customers.csv
156,Ryan Gonzalez,ryan.gonzalez156@example.com,Japan,2022-07-08,customers.csv
157,Sofia Thomas,sofia.thomas157@example.com,India,2022-12-22,customers.csv
158,Michael Lee,michael.lee158@example.com,Japan,2023-01-12,customers.csv
159,John Wilson,john.wilson159@example.com,Germany,2018-11-10,customers.csv
160,Christopher Lee,christopher.lee160@example.com,Mexico,2015-02-09,customers.csv
161,Sarah Davis,sarah.davis161@example.com,India,2016-09-22,customers.csv
162,Daniel Miller,daniel.miller162@example.com,Mexico,2024-08-04,customers.csv
163,Anthony Rodriguez,anthony.rodriguez163@example.com,UK,2015-10-15,customers.csv
164,Elizabeth Perez,elizabeth.perez164@example.com,Australia,2016-07-07,customers.csv
165,James Harris,james.harris165@example.com,UK,2022-12-30,customers.csv
166,Isabella Martinez,isabella.martinez166@example.com,Mexico,2019-10-08,customers.csv
167,Evelyn Johnson,evelyn.johnson167@example.com,Mexico,2019-10-26,customers.csv
168,Mia Martinez,mia.martinez168@example.com,Japan,2017-01-30,customers.csv
169,Amelia Gonzalez,amelia.gonzalez169@example.com,Mexico,2021-12-02,customers.csv
170,Emily Hernandez,emily.hernandez170@example.com,France,2017-09-23,customers.csv
171,Isabella Garcia,isabella.garcia171@example.com,France,2016-08-09,customers.csv
172,Joshua Anderson,joshua.anderson172@example.com,France,2020-12-01,customers.csv
173,Abigail Gonzalez,abigail.gonzalez173@example.com,Canada,2023-09-10,customers.csv
174,Daniel White,daniel.white174@example.com,Germany,2019-06-07,customers.csv
175,William Lee,william.lee175@example.com,Australia,2020-09-06,customers.csv
176,Elizabeth Clark,elizabeth.clark176@example.com,Japan,2015-03-05,customers.csv
177,Emily Smith,emily.smith177@example.com,India,2017-09-02,customers.csv
178,Isabella Smith,isabella.smith178@example.com,Brazil,2021-06-09,customers.csv
179,Alexander Garcia,alexander.garcia179@example.com,Germany,2017-07-26,customers.csv
180,Sofia Johnson,sofia.johnson180@example.com,Brazil,2016-09-01,customers.csv
181,Alexander Lopez,alexander.lopez181@example.com,India,2021-08-03,customers.csv
182,Christopher Martin,christopher.martin182@example.com,Australia,2023-07-11,customers.csv
183,John Anderson,john.anderson183@example.com,USA,2020-09-29,customers.csv
184,Anthony White,anthony.white184@example.com,UK,2015-10-16,customers.csv
185,Charlotte Ramirez,charlotte.ramirez185@example.com,Canada,2024-01-08,customers.csv
186,Andrew Lopez,andrew.lopez186@example.com,Australia,2015-05-25,customers.csv
187,Jane Davis,jane.davis187@example.com,USA,2023-02-14,customers.csv
188,Emily Johnson,emily.johnson188@example.com,UK,2020-03-26,customers.csv
189,Sarah Ramirez,sarah.ramirez189@example.com,Japan,2023-10-25,customers.csv
190,Andrew Rodriguez,andrew.rodriguez190@example.com,France,2015-02-11,customers.csv
191,David Martin,david.martin191@example.com,France,2022-08-23,customers.csv
192,Harper Garcia,harper.garcia192@example.com,Germany,2016-07-28,customers.csv
193,Sarah Miller,sarah.miller193@example.com,Japan,2023-08-21,customers.csv
194,Isabella Johnson,isabella.johnson194@example.com,France,2022-06-08,customers.csv
195,Evelyn Miller,evelyn.miller195@example.com,Canada,2023-11-22,customers.csv
196,Harper Gonzalez,harper.gonzalez196@example.com,Canada,2016-08-06,customers.csv
197,David Wilson,david.wilson197@example.com,USA,2017-04-09,customers.csv
198,Joshua Brown,joshua.brown198@example.com,Australia,2024-03-08,customers.csv
199,John Brown,john.brown199@example.com,USA,2024-03-24,customers.csv
200,Anthony Rodriguez,anthony.rodriguez200@example.com,France,2022-08-18,customers.csv
201,William Anderson,william.anderson201@example.com,UK,2018-05-10,customers.csv
202,John Williams,john.williams202@example.com,India,2016-08-24,customers.csv
203,Mia Hernandez,mia.hernandez203@example.com,France,2021-08-12,customers.csv
204,Alexander Jones,alexander.jones204@example.com,Japan,2020-10-23,customers.csv
205,Sofia Martin,sofia.martin205@example.com,USA,2018-01-03,customers.csv
206,Nicholas Brown,nicholas.brown206@example.com,Australia,2021-04-18,customers.csv
207,Alexander Jackson,alexander.jackson207@example.com,India,2023-10-22,customers.csv
208,Joseph White,joseph.white208@example.com,Germany,2015-10-30,customers.csv
209,Olivia Rodriguez,olivia.rodriguez209@example.com,UK,2024-10-19,customers.csv
210,William White,william.white210@example.com,Brazil,2021-09-26,customers.csv
211,Matthew Jackson,matthew.jackson211@example.com,Germany,2019-04-29,customers.csv
212,Isabella Rodriguez,isabella.rodriguez212@example.com,Japan,2017-11-16,customers.csv
213,Charlotte Perez,charlotte.perez213@example.com,Japan,2023-12-31,customers.csv
214,Sophia Lopez,sophia.lopez214@example.com,USA,2024-01-13,customers.csv
215,Nicholas Martin,nicholas.martin215@example.com,India,2022-02-09,customers.csv
216,Ryan Brown,ryan.brown216@example.com,UK,2022-11-14,customers.csv
217,Ryan Wilson,ryan.wilson217@example.com,Mexico,2022-04-06,customers.csv
218,Matthew Harris,matthew.harris218@example.com,India,2016-10-17,customers.csv
219,James Brown,james.brown219@example.com,USA,2020-11-25,customers.csv
220,Emma Hernandez,emma.hernandez220@example.com,Brazil,2017-09-17,customers.csv
221,James Brown,james.brown221@example.com,Mexico,2015-08-24,customers.csv
222,Olivia Moore,olivia.moore222@example.com,India,2017-01-25,customers.csv
223,Olivia Thomas,olivia.thomas223@example.com,Australia,2020-10-05,customers.csv
224,Andrew Brown,andrew.brown224@example.com,USA,2023-10-10,customers.csv
225,Daniel Johnson,daniel.johnson225@example.com,Brazil,2015-02-21,customers.csv
226,Jane Garcia,jane.garcia226@example.com,Japan,2019-07-31,customers.csv
227,David Hernandez,david.hernandez227@example.com,Japan,2015-02-12,customers.csv
228,Isabella Smith,isabella.smith228@example.com,Japan,2015-07-08,customers.csv
229,Joshua Perez,joshua.perez229@example.com,India,2022-02-14,customers.csv
230,Abigail Miller,abigail.miller230@example.com,UK,2024-07-11,customers.csv
231,Sophia White,sophia.white231@example.com,Germany,2023-02-05,customers.csv
232,Joseph Jackson,joseph.jackson232@example.com,Brazil,2015-04-30,customers.csv
233,James Rodriguez,james.rodriguez233@example.com,Germany,2023-06-04,customers.csv
234,Isabella Perez,isabella.perez234@example.com,Australia,2020-07-20,customers.csv
235,Mia Jones,mia.jones235@example.com,India,2024-08-01,customers.csv
236,John Ramirez,john.ramirez236@example.com,Japan,2018-06-28,customers.csv
237,William Davis,william.davis237@example.com,France,2023-12-18,customers.csv
238,Andrew Anderson,andrew.anderson238@example.com,USA,2015-10-12,customers.csv
239,Joshua Sanchez,joshua.sanchez239@example.com,Japan,2019-11-17,customers.csv
240,Jane Taylor,jane.taylor240@example.com,Brazil,2023-02-07,customers.csv
241,Matthew Martinez,matthew.martinez241@example.com,France,2018-09-19,customers.csv
242,Sophia Lopez,sophia.lopez242@example.com,Australia,2024-06-17,customers.csv
243,Elizabeth Harris,elizabeth.harris243@example.com,UK,2015-09-02,customers.csv
244,Daniel Martin,daniel.martin244@example.com,Japan,2023-05-12,customers.csv
245,Anthony Ramirez,anthony.ramirez245@example.com,Brazil,2020-02-18,customers.csv
246,Michael Martinez,michael.martinez246@example.com,India,2022-05-19,customers.csv
247,Isabella Brown,isabella.brown247@example.com,Australia,2023-11-05,customers.csv
248,Sarah Wilson,sarah.wilson248@example.com,Mexico,2019-03-01,customers.csv
249,Andrew Lopez,andrew.lopez249@example.com,Japan,2015-01-16,customers.csv
250,Sophia Perez,sophia.perez250@example.com,Japan,2024-11-13,customers.csv
251,Emily Anderson,emily.anderson251@example.com,Japan,2015-06-02,customers.csv
252,Sofia Martin,sofia.martin252@example.com,Japan,2022-08-21,customers.csv
253,Sarah White,sarah.white253@example.com,Germany,2024-01-17,customers.csv
254,Sophia Lopez,sophia.lopez254@example.com,Japan,2019-01-27,customers.csv
255,Daniel Moore,daniel.moore255@example.com,Australia,2016-01-20,customers.csv
256,Ryan Smith,ryan.smith256@example.com,India,2021-11-29,customers.csv
257,Joseph Sanchez,joseph.sanchez257@example.com,UK,2019-07-16,customers.csv
258,Emily Lee,emily.lee258@example.com,Mexico,2022-12-20,customers.csv
259,James Johnson,james.johnson259@example.com,Australia,2015-10-08,customers.csv
260,Amelia Moore,amelia.moore260@example.com,France,2018-12-02,customers.csv
261,James Sanchez,james.sanchez261@example.com,Japan,2017-08-04,customers.csv
262,Nicholas Garcia,nicholas.garcia262@example.com,UK,2024-08-17,customers.csv
263,Jane Wilson,jane.wilson263@example.com,Canada,2024-05-26,customers.csv
264,Anthony Ramirez,anthony.ramirez264@example.com,Germany,2017-02-26,customers.csv
265,Emily Moore,emily.moore265@example.com,Canada,2022-04-03,customers.csv
266,Abigail Miller,abigail.miller266@example.com,India,2016-09-22,customers.csv
267,Michael Sanchez,michael.sanchez267@example.com,Australia,2019-03-30,customers.csv
268,James Anderson,james.anderson268@example.com,Germany,2022-10-21,customers.csv
269,Emma Harris,emma.harris269@example.com,Mexico,2022-12-10,customers.csv
270,Alexander Anderson,alexander.anderson270@example.com,Japan,2017-06-29,customers.csv
271,Amelia Smith,amelia.smith271@example.com,France,2015-01-16,customers.csv
272,Sarah Miller,sarah.miller272@example.com,Australia,2018-03-15,customers.csv
273,Sofia White,sofia.white273@example.com,UK,2016-03-04,customers.csv
274,Emily Williams,emily.williams274@example.com,Germany,2024-02-15,customers.csv
275,Isabella Lee,isabella.lee275@example.com,India,2015-10-11,customers.csv
276,Michael Jones,michael.jones276@example.com,India,2016-04-29,customers.csv
277,Charlotte Gonzalez,charlotte.gonzalez277@example.com,Germany,2018-03-12,customers.csv
278,Sofia Garcia,sofia.garcia278@example.com,France,2020-11-07,customers.csv
279,Mia Wilson,mia.wilson279@example.com,Germany,2019-08-15,customers.csv
280,Emily Garcia,emily.garcia280@example.com,Mexico,2024-08-18,customers.csv
281,Elizabeth Harris,elizabeth.harris281@example.com,Germany,2016-12-19,customers.csv
282,William Wilson,william.wilson282@example.com,Australia,2022-11-29,customers.csv
283,John Harris,john.harris283@example.com,Japan,2017-08-09,customers.csv
284,Charlotte Garcia,charlotte.garcia284@example.com,Australia,2017-07-02,customers.csv
285,Isabella Jones,isabella.jones285@example.com,India,2015-09-12,customers.csv
286,Emma Wilson,emma.wilson286@example.com,Mexico,2020-09-01,customers.csv
287,Charlotte Jackson,charlotte.jackson287@example.com,USA,2021-12-12,customers.csv
288,Olivia Lee,olivia.lee288@example.com,France,2016-10-20,customers.csv
289,Olivia Brown,olivia.brown289@example.com,Mexico,2022-01-31,customers.csv
290,Matthew Miller,matthew.miller290@example.com,India,2020-03-17,customers.csv
291,Christopher Johnson,christopher.johnson291@example.com,Canada,2018-11-15,customers.csv
292,Emily Rodriguez,emily.rodriguez292@example.com,Brazil,2017-03-17,customers.csv
293,Ryan Lee,ryan.lee293@example.com,UK,2023-12-16,customers.csv
294,Emma Thompson,emma.thompson294@example.com,India,2017-08-15,customers.csv
295,Matthew Jackson,matthew.jackson295@example.com,India,2020-11-30,customers.csv
296,Amelia Ramirez,amelia.ramirez296@example.com,Japan,2018-11-17,customers.csv
297,Sophia Hernandez,sophia.hernandez297@example.com,Australia,2021-11-03,customers.csv
298,Sarah Perez,sarah.perez298@example.com,Japan,2017-06-06,customers.csv
299,Matthew Taylor,matthew.taylor299@example.com,Mexico,2015-07-06,customers.csv
300,Isabella Clark,isabella.clark300@example.com,Brazil,2016-10-31,customers.csv
301,Emily White,emily.white301@example.com,Germany,2023-10-11,customers.csv
302,Nicholas Lopez,nicholas.lopez302@example.com,UK,2021-01-17,customers.csv
303,Christopher Harris,christopher.harris303@example.com,Germany,2020-10-14,customers.csv
304,Sarah Garcia,sarah.garcia304@example.com,UK,2023-06-15,customers.csv
305,John Garcia,john.garcia305@example.com,Brazil,2016-04-21,customers.csv
306,Joseph Rodriguez,joseph.rodriguez306@example.com,Brazil,2024-09-10,customers.csv
307,Harper Sanchez,harper.sanchez307@example.com,Japan,2020-01-03,customers.csv
308,David Brown,david.brown308@example.com,India,2015-11-06,customers.csv
309,Michael Williams,michael.williams309@example.com,Brazil,2017-03-13,customers.csv
310,James Anderson,james.anderson310@example.com,Germany,2016-08-04,customers.csv
311,Joshua Brown,joshua.brown311@example.com,India,2023-01-22,customers.csv
312,Christopher Rodriguez,christopher.rodriguez312@example.com,Germany,2023-10-16,customers.csv
313,William Jones,william.jones313@example.com,Brazil,2016-10-13,customers.csv
314,Emma Rodriguez,emma.rodriguez314@example.com,Brazil,2020-11-26,customers.csv
315,Isabella Harris,isabella.harris315@example.com,Mexico,2017-07-18,customers.csv
316,David Thompson,david.thompson316@example.com,Japan,2019-05-06,customers.csv
317,Matthew Taylor,matthew.taylor317@example.com,USA,2024-02-19,customers.csv
318,David Lopez,david.lopez318@example.com,Japan,2023-04-14,customers.csv
319,Isabella Jackson,isabella.jackson319@example.com,France,2015-05-29,customers.csv
320,Mia Lee,mia.lee320@example.com,Germany,2024-12-01,customers.csv
321,William Moore,william.moore321@example.com,Canada,2019-01-29,customers.csv
322,Abigail Davis,abigail.davis322@example.com,Mexico,2023-10-03,customers.csv
323,Joshua Lopez,joshua.lopez323@example.com,Canada,2019-04-30,customers.csv
324,Sarah Wilson,sarah.wilson324@example.com,Mexico,2021-04-11,customers.csv
325,Sophia Ramirez,sophia.ramirez325@example.com,India,2024-04-04,customers.csv
326,Sarah Ramirez,sarah.ramirez326@example.com,UK,2015-07-04,customers.csv
327,Abigail Lee,abigail.lee327@example.com,Australia,2024-10-12,customers.csv
328,John Harris,john.harris328@example.com,USA,2015-08-10,customers.csv
329,William Wilson,william.wilson329@example.com,UK,2024-02-09,customers.csv
330,Daniel Rodriguez,daniel.rodriguez330@example.com,USA,2020-09-19,customers.csv
331,Sophia Wilson,sophia.wilson331@example.com,Brazil,2015-10-11,customers.csv
332,Daniel Rodriguez,daniel.rodriguez332@example.com,Mexico,2020-04-23,customers.csv
333,William Lee,william.lee333@example.com,Canada,2021-10-21,customers.csv
334,Michael Perez,michael.perez334@example.com,France,2020-03-16,customers.csv
335,Alexander Taylor,alexander.taylor335@example.com,UK,2020-11-04,customers.csv
336,Michael Wilson,michael.wilson336@example.com,UK,2015-06-13,customers.csv
337,Daniel Thomas,daniel.thomas337@example.com,Brazil,2024-11-14,customers.csv
338,Abigail Lee,abigail.lee338@example.com,Mexico,2022-07-31,customers.csv
339,Ryan Wilson,ryan.wilson339@example.com,Germany,2016-01-05,customers.csv
340,Charlotte Martin,charlotte.martin340@example.com,India,2020-11-11,customers.csv
341,Emma Jackson,emma.jackson341@example.com,USA,2015-03-15,customers.csv
342,Joseph White,joseph.white342@example.com,Germany,2022-06-07,customers.csv
343,John White,john.white343@example.com,France,2024-03-23,customers.csv
344,Harper Jones,harper.jones344@example.com,UK,2023-05-24,customers.csv
345,Amelia Johnson,amelia.johnson345@example.com,Australia,2019-02-04,customers.csv
346,Michael Thomas,michael.thomas346@example.com,Germany,2017-12-17,customers.csv
347,Sofia Jones,sofia.jones347@example.com,Brazil,2018-01-07,customers.csv
348,John Rodriguez,john.rodriguez348@example.com,USA,2019-04-23,customers.csv
349,David Martinez,david.martinez349@example.com,France,2024-05-31,customers.csv
350,Andrew Gonzalez,andrew.gonzalez350@example.com,Canada,2023-11-19,customers.csv
351,William Martinez,william.martinez351@example.com,Germany,2021-12-20,customers.csv
352,Anthony Martinez,anthony.martinez352@example.com,Mexico,2015-12-16,customers.csv
353,Amelia Thomas,amelia.thomas353@example.com,Brazil,2021-11-04,customers.csv
354,Nicholas Taylor,nicholas.taylor354@example.com,Japan,2024-07-16,customers.csv
